Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801507,AEROPORTO SANTOS DUMONT,A10000010,LUVA NEOPRENE,PRETO/CHUMBO,G,1,A10,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A12500001,CUECA SLIP PIMA T&F,BRANCO,M,8,A12,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A12500001,CUECA SLIP PIMA T&F,PRETO,M,1,A12,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A12500002,CUECA BOXER PIMA T&F,BRANCO,G,2,A12,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A12500002,CUECA BOXER PIMA T&F,PRETO,P,2,A12,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A12500002,CUECA BOXER PIMA T&F,PRETO,M,1,A12,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A12500002,CUECA BOXER PIMA T&F,MESCLA,P,3,A12,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A13190010,BONE REFLETIVO BS,PRETO,U,1,A13,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A13360004,FIVELA TIC TAC METAL,PRETO,U,1,A13,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A15370034,PORTA SMARTPHONE PLUS,PRETO,U,24,A15,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230015,POLAINA SOFTMAX,MESCLA CINZA,U,2,A16,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230076,MEIA NO SHOW T&F,BRANCO,33/38,4,A16,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230076,MEIA NO SHOW T&F,PRETO,39/44,3,A16,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230081,MEIA REDTECH,PRETO,33/36,2,A16,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230081,MEIA REDTECH,PRETO,37/40,8,A16,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230081,MEIA REDTECH,OFF WHITE,33/36,3,A16,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230081,MEIA REDTECH,OFF WHITE,37/40,2,A16,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A16230086,MEIA PERFORMER,BRANCO/CINZA MESCLA,39/44,2,A16,LINHA BASICA
801507,AEROPORTO SANTOS DUMONT,A16230086,MEIA PERFORMER,PRETO/CINZA MESCLA,33/38,2,A16,LINHA BASICA
801507,AEROPORTO SANTOS DUMONT,A17210012,GARRAFA GLASS,BOREAL,U,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17210022,GARRAFA DE HIDRACAO,PRETO,U,2,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17230094,MEIA PILATES T&TF,PRETO,38/41,2,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17230097,MEIA INVISIBLE,BRANCO,33/36,2,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17230097,MEIA INVISIBLE,BRANCO,37/40,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17230097,MEIA INVISIBLE,PRETO,37/40,7,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17230097,MEIA INVISIBLE,MESCLA CLARO,33/36,5,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17230097,MEIA INVISIBLE,MESCLA CLARO,41/44,2,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17270042,TENIS ESSENTIAL F T&F,PRETO,37,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,34,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,35,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,38,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17270043,TENIS EFFECT F T&F,MESCLA CHERRY/DUSKY V17,36,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17410015,ELÁSTICO TUBINHO,PRETO/MARROM/MESCLA,U,17,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17440065,CINTO BOLSOS,MESCLA ESCURO,M,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17500008,CUECA BOXER REDTECH,PRETO,G,3,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17500008,CUECA BOXER REDTECH,PRETO,GG,2,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17500008,CUECA BOXER REDTECH,AZUL NOTURNO,M,2,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17500008,CUECA BOXER REDTECH,AZUL NOTURNO,G,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17500008,CUECA BOXER REDTECH,AZUL NOTURNO,GG,2,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A17790004,TOUCA ADULTO,CINZA,U,1,A17,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18210024,GARRAFA TWIST KIDS,CLUB,U,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18210024,GARRAFA TWIST KIDS,CELESTIAL,U,3,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18220011,MALA SPORTS T&F,PRETO,U,3,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18230099,MEIA SOFT NEW T&F,PRETO/GRANITO,39/44,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18230099,MEIA SOFT NEW T&F,BRANCO/SILVER,33/38,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,PRETO,35,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,PRETO,36,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,PRETO,38,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,AZUL NOTURNO,35,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,AZUL NOTURNO,36,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,34,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,36,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,37,2,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,38,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270042,TENIS ESSENTIAL F T&F,CRISTAL I19,39,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270044,TENIS ESSENTIAL M T&F,PRETO,42,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270044,TENIS ESSENTIAL M T&F,AZUL NOTURNO,39,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270044,TENIS ESSENTIAL M T&F,AZUL NOTURNO,40,2,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270044,TENIS ESSENTIAL M T&F,AZUL NOTURNO,41,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270044,TENIS ESSENTIAL M T&F,MESCLA ESCURO,40,1,A18,ACESSORIOS
801507,AEROPORTO SANTOS DUMONT,A18270108,TENIS 1988 M T&F,PRETO/BRANCO,38,1,A18,ACESSORIOS
